typ,ra,dec,mag,names
GC,14.439165,-74.4725,11.9,NGC339
***,14.440005000000001,30.3661,12.0,NGC313
Gxy,14.453339999999999,30.3525,11.3,NGC315
*,14.46834,30.3544,12.0,NGC316
OC+Neb,14.77125,-72.1772,10.3,NGC346
Gxy,14.95833,-7.57778,11.6,NGC337
Gxy,15.190350000000002,-9.18556,13.0,NGC341
Gxy,15.53835,-4.24583,12.7,NGC352
OC,15.54705,-71.6069,11.8,NGC361
Gxy,15.712950000000001,-65.61,12.8,NGC360
GC,15.8091,-70.8483,6.8,NGC362/C104
Gxy,15.84045,-6.33944,11.9,NGC357
OC,15.973349999999998,-72.8253,10.9,NGC376
Gxy,16.199099999999998,2.11773,10.0,IC1613/C51
Gxy,16.815,32.5203,13.0,NGC379
Gxy,16.82295,32.4831,12.7,NGC380
Gxy,16.8537,32.4125,12.5,NGC383
Gxy,16.8504,-69.88,12.3,NGC406
GC,16.99335,-72.3569,12.6,NGC416
OC,17.06205,61.5833,9.3,NGC381
GC,17.07285,-72.8836,11.2,NGC419
Gxy,17.09715,33.1333,12.9,NGC392
Gxy,17.15295,39.6431,12.2,NGC393
Gxy,17.3088,32.7522,12.7,NGC403
Gxy,17.36205,35.7178,10.2,NGC404
Gxy,17.48175,-45.9312,12.56,IC1633
Gxy,17.65035,-30.2208,12.7,NGC418
Gxy,17.74545,33.1517,11.6,NGC410
Gxy,17.8662,-38.0831,13.0,NGC424
Gxy,17.9421,-61.5264,13.0,NGC432
Gxy,18.040049999999997,32.1233,12.2,NGC420
Gxy,18.056250000000002,-58.2467,12.3,NGC434
Gxy,18.231299999999997,0.981944,11.2,NGC428
Gxy,18.2604,38.7686,12.7,NGC425
Gxy,18.2496,-0.252778,12.5,NGC430
Gxy,18.38955,-37.9019,13.0,NGC438
Gxy,18.4467,-31.7475,11.6,NGC439
Gxy,18.46545,-31.7872,12.9,NGC441
Gxy,18.5196,33.7036,13.0,NGC431
Gxy,18.5913,5.92583,13.0,NGC437
Gxy,18.596249999999998,-55.3975,12.7,NGC454
OC+Neb,18.6567,-73.2883,12.5,NGC460
Gxy,19.0146,4.29389,12.8,NGC446
Gxy,18.8187,-1.62667,12.2,NGC448
Gxy,18.8766,-0.861111,11.7,NGC450
OC,18.9279,-73.3242,11.5,NGC465
OC,18.99045,58.8172,8.8,NGC436
Gxy,18.9066,33.0678,12.7,NGC447
Gxy,18.98835,5.17778,12.6,NGC455
Gxy,19.305449999999997,-58.9103,12.8,NGC466
OC,19.8858,58.2908,6.4,NGC457/C13
Gxy,19.79205,3.30056,12.1,NGC467
Gxy,19.89495,-58.5244,12.2,NGC484
Gxy,19.9371,3.40972,11.6,NGC470
Gxy,19.9779,16.545,12.2,NGC473
Gxy,20.027549999999998,3.41528,10.4,NGC474
Gxy,20.3337,-34.0633,12.6,NGC491
Gxy,20.445,5.25694,10.6,NGC488
Gxy,20.4741,9.20583,12.6,NGC489
Gxy,20.53785,0.945556,12.3,NGC493
Gxy,20.73165,9.04889,12.7,NGC502
Gxy,20.730900000000002,33.1742,13.0,NGC494
Gxy,20.74995,33.1833,13.0,IC1685
Gxy,20.79795,33.4603,12.0,NGC499
Gxy,20.9166,33.2561,11.7,NGC507
Gxy,21.1116,33.7994,12.9,NGC513
Gxy,21.0162,12.9167,11.7,NGC514
Gxy,21.14295,3.795,11.6,NGC520
Gxy,21.14085,1.73111,11.8,NGC521
Gxy,21.182850000000002,33.43,12.5,NGC517
Gxy,21.1992,9.53917,10.5,NGC524
Gxy,21.336599999999997,34.0253,13.0,NGC523
Gxy,21.321299999999997,9.265,12.7,NGC532
Gxy,21.39,33.6714,12.6,NGC528
Gxy,21.38085,1.75889,11.4,NGC533
Gxy,21.4179,34.7131,11.9,NGC529
Gxy,21.435000000000002,-1.38028,12.6,NGC541
Gxy,21.496199999999998,-1.34,12.3,NGC545
Gxy,21.5025,-1.345,12.3,NGC547
Gxy,21.336599999999997,34.0253,13.0,NGC537
Gxy,21.5904,34.7036,12.4,NGC536
Gxy,21.67785,2.02222,12.9,NGC550
Gxy,21.855900000000002,-1.91417,12.9,NGC560
Gxy,21.91875,37.1828,12.9,NGC551
Gxy,21.95085,-1.88,12.6,NGC564
Gxy,21.98715,-35.7181,12.5,NGC568
OC,22.371299999999998,63.3083,9.5,NGC559/C8
Gxy,22.61955,-22.6667,11.1,NGC578
Gxy,22.669649999999997,-1.99556,13.0,NGC580
Gxy,22.6938,21.4389,13.0,NGC575
Gxy,22.70535,41.2569,12.8,NGC573
Gxy,22.8366,-6.86833,10.3,NGC584
Gxy,23.1387,35.3589,13.0,NGC587
Gxy,23.174999999999997,35.3333,13.0,IC1713
Gxy,23.21625,-7.0325,10.8,NGC596
Gxy,23.27205,-7.31278,12.4,NGC600
OC,23.3409,60.6581,7.4,M103/NGC581
Gxy,23.46165,30.6603,5.8,Triangulum galaxy/M33/NGC598
Gxy,23.490000000000002,-36.4933,13.0,NGC612
Gxy,23.572950000000002,-29.4161,10.1,NGC613
Gxy,23.77455,-36.4897,12.7,NGC623
Gxy,23.75955,41.2483,13.0,NGC605
Gxy,23.7738,-7.34111,11.7,NGC615
Gxy,23.771250000000002,-41.4364,11.4,NGC625
OC,23.753400000000003,-75.5572,13.0,NGC643
Gxy,23.7996,-39.1481,12.9,NGC626
Gxy,23.902949999999997,-39.36,12.7,NGC630
Gxy,23.9679,33.6817,12.8,NGC614
Gxy,23.86785,33.6567,12.7,NGC618
Gxy,24.10035,-37.3236,12.9,NGC633
Gxy,24.2037,35.5125,12.8,NGC621
Gxy,24.1734,15.7842,9.5,M74/NGC628
Gxy,24.2487,42.3222,12.9,NGC620
Gxy,23.9679,33.6817,12.7,NGC627
OC,24.098699999999997,64.5367,11.0,NGC609
Gxy,24.32295,5.8775,12.4,NGC632
Gxy,24.66375,-42.5264,12.4,NGC641
Gxy,24.77715,-7.51278,11.4,NGC636
Gxy,25.036199999999997,5.72778,12.8,NGC645
Gxy,25.5408,12.6025,12.5,NGC658
PN,25.57545,51.5711,10.1,M76/NGC650
PN,25.5912,51.5803,10.1,NGC651
Gxy,25.61505,26.1433,12.5,NGC656
OC,25.76295,64.0367,8.2,NGC637
Gxy,25.7571,13.6428,11.4,NGC660
Gxy,25.9413,4.22139,13.0,NGC664
OC,25.99755,61.8828,6.5,NGC654
OC,26.0958,60.6692,7.9,NGC659
Gxy,26.0604,28.7056,12.0,NGC661
Gxy,26.23335,10.4228,12.2,NGC665
OC,26.56665,61.2183,7.1,NGC663/C10
Gxy,26.5941,36.4608,12.8,NGC668
Gxy,26.817149999999998,35.5633,12.3,NGC669
Gxy,26.853749999999998,27.8856,12.0,NGC670
Gxy,26.874599999999997,27.333,12.08,IC1727
Gxy,26.92965,-52.7614,11.5,NGC685
Gxy,26.9763,27.4331,10.8,NGC672
Gxy,27.09465,11.5231,12.5,NGC673
Gxy,27.1758,-48.6483,12.5,NGC692
Gxy,27.2391,5.9075,11.9,NGC676
Gxy,27.2346,-23.7986,12.5,NGC686
Gxy,27.31035,13.055,12.7,NGC677
Gxy,27.8229,22.3578,12.0,NGC674
Gxy,27.29505,-10.4278,12.0,NGC681
Gxy,27.35505,21.9975,12.5,NGC678
Gxy,27.43215,35.7844,11.9,NGC679
Gxy,27.44715,21.9706,11.9,NGC680
Gxy,27.55965,27.6478,12.6,NGC684
Gxy,27.6288,6.145,12.5,NGC693
Gxy,27.6384,36.3708,12.3,NGC687
Gxy,27.6738,21.7597,12.3,NGC691
Gxy,27.68505,35.2847,12.5,NGC688
Gxy,27.74415,21.9986,12.3,NGC694
Gxy,27.7659,-9.70389,12.3,NGC701
Gxy,27.8079,22.5831,12.9,NGC695
Gxy,27.8229,22.3578,12.0,NGC697
Gxy,27.95955,6.29556,12.4,NGC706
OC,28.125,61.8333,11.7,IC166
Gxy,28.1571,36.1258,13.0,NGC704
Gxy,28.19295,36.1522,12.8,NGC708
Gxy,28.2516,-13.7392,10.3,NGC720
Gxy,28.28535,36.82,12.9,NGC712
Gxy,28.30215,4.19667,11.6,NGC718
Gxy,28.440900000000003,-23.7578,12.6,NGC724
Gxy,28.440900000000003,-23.7578,12.6,NGC723
Gxy,28.733700000000002,-9.01083,12.1,NGC731
Gxy,28.9212,-29.9222,12.7,NGC749
Gxy,29.0871,5.62889,11.5,NGC741
Gxy,29.0904,-4.46778,12.6,NGC748
Gxy,29.093700000000002,-9.06194,12.6,NGC755
Gxy,28.733700000000002,-9.01083,12.1,NGC757
Gxy,29.17035,33.0436,12.5,NGC736
Gxy,29.2404,-5.40278,13.0,NGC762
Gxy,29.093700000000002,-9.06194,12.6,NGC763
Gxy,29.385450000000002,33.21,12.0,NGC750
Gxy,29.3871,33.2044,12.2,NGC751
Gxy,29.4267,35.9161,11.9,NGC753
OC,29.449650000000002,37.85,5.7,NGC752/C28
Gxy,29.45955,36.3425,12.5,NGC759
Gxy,29.407049999999998,-57.7903,12.0,NGC782
OC,29.62455,55.4747,7.9,NGC744
Gxy,29.63535,-26.2922,12.9,NGC775
Gxy,29.67465,8.34833,12.8,NGC766
Gxy,29.698349999999998,24.8917,13.0,NGC765
Gxy,29.80455,18.9553,13.0,NGC770
Gxy,29.83455,19.0061,10.4,NGC772
Gxy,29.9004,30.91,12.9,NGC769
Gxy,29.9271,-5.965,11.3,NGC779
Gxy,29.97795,23.6436,12.6,NGC776
Gxy,30.062549999999998,31.4297,11.4,NGC777
Gxy,30.2025,-9.0025,12.9,NGC787
Gxy,30.277050000000003,31.8822,12.3,NGC783
Gxy,30.277050000000003,-6.81556,12.3,NGC788
Gxy,30.320849999999997,28.8375,11.4,NGC784
Gxy,30.34005,-5.37111,13.0,NGC790
Gxy,30.404100000000003,-68.4411,13.0,NGC813
Gxy,30.4167,31.8269,12.8,NGC785
Gxy,30.622500000000002,18.3731,12.8,NGC794
*,30.86085,72.4208,4.0,NGC771
Gxy,30.86625,38.1169,12.7,NGC797
Gxy,30.937049999999996,38.2589,12.9,NGC801
Gxy,30.937950000000004,16.0317,12.6,NGC803
Gxy,31.2321,28.9883,12.6,NGC807
Gxy,31.7175,44.57,11.6,NGC812
Gxy,31.837500000000002,-25.4428,12.7,NGC823
Gxy,32.10495,14.3492,13.0,NGC820
Gxy,32.08755,10.9956,11.2,NGC821
Gxy,32.18505,38.7767,12.1,NGC818
